Student_ID,Gender,Age,Attendance_Percentage,Study_Hours_Per_Day,Assignment_Average,Sleep_Hours,Mathematics,Science,English,History,Computer Science,Overall_Score,Grade
S001,Male,15,86.5,3.9,58.9,7.8,100.0,100.0,100.0,100.0,100.0,100.0,A+
S002,Female,18,80.8,4.2,70.8,6.1,95.3,93.3,100.0,96.8,100.0,97.1,A+
S003,Female,16,87.8,4.8,78.1,7.9,97.1,99.9,98.9,93.9,100.0,98.0,A+
S004,Female,15,95.7,4.8,78.6,8.4,100.0,98.4,100.0,100.0,97.1,99.1,A+
S005,Female,17,79.9,1.8,72.6,7.4,84.3,96.9,88.5,100.0,90.0,91.9,A+
S006,Male,16,79.9,2.4,85.5,8.9,94.3,100.0,97.5,100.0,100.0,98.4,A+
S007,Male,18,96.2,4.1,65.2,6.2,100.0,100.0,100.0,100.0,100.0,100.0,A+
S008,Male,16,88.9,4.1,76.3,5.8,100.0,100.0,99.8,99.1,100.0,99.8,A+
S009,Male,17,77.8,4.1,79.4,5.2,95.6,93.2,96.6,88.6,97.6,94.3,A+
S010,Female,18,86.9,7.0,84.2,8.5,100.0,100.0,98.5,91.7,99.7,98.0,A+
S011,Female,17,77.8,4.2,86.5,7.7,100.0,100.0,96.6,100.0,93.4,98.0,A+
S012,Male,17,77.8,4.9,64.5,6.9,100.0,91.2,100.0,95.4,99.4,97.2,A+
S013,Female,17,84.2,4.6,59.6,7.3,100.0,98.5,90.4,96.7,100.0,97.1,A+
S014,Male,15,64.8,4.3,93.3,5.9,94.9,100.0,90.8,93.6,100.0,95.9,A+
S015,Male,15,66.5,3.1,82.0,9.4,91.8,100.0,100.0,100.0,97.7,97.9,A+
S016,Female,16,76.9,4.4,69.0,7.1,99.5,89.2,89.5,90.1,90.3,91.7,A+
S017,Female,18,72.9,2.6,96.6,7.1,99.3,96.2,95.5,95.9,100.0,97.4,A+
S018,Male,16,84.8,3.2,79.4,7.7,100.0,100.0,100.0,99.3,100.0,99.9,A+
S019,Male,16,73.8,2.9,92.2,7.5,100.0,88.2,94.9,100.0,100.0,96.6,A+
S020,Male,16,69.3,3.6,78.8,7.2,95.9,99.0,100.0,100.0,100.0,99.0,A+
S021,Female,16,95.2,6.3,100.0,6.2,100.0,100.0,98.0,100.0,100.0,99.6,A+
S022,Female,18,80.0,1.3,99.1,7.5,100.0,96.1,100.0,100.0,98.7,99.0,A+
S023,Female,15,82.6,4.3,75.0,8.9,97.0,98.4,100.0,100.0,99.4,99.0,A+
S024,Female,15,69.2,1.6,89.7,8.3,94.4,89.1,97.5,89.8,91.2,92.4,A+
S025,Female,15,77.1,2.9,85.7,8.6,100.0,90.0,100.0,100.0,100.0,98.0,A+
S026,Female,18,83.0,4.8,94.4,6.5,89.2,93.5,97.0,100.0,96.5,95.2,A+
S027,Female,16,71.6,3.6,66.4,6.0,100.0,100.0,100.0,100.0,100.0,100.0,A+
S028,Male,18,85.4,2.2,86.2,6.9,89.7,100.0,98.4,98.6,99.9,97.3,A+
S029,Female,15,76.6,2.6,90.7,7.1,93.5,100.0,95.5,96.8,88.8,94.9,A+
S030,Male,17,79.4,4.3,56.9,8.1,95.4,97.6,93.0,93.4,92.9,94.5,A+
S031,Male,17,76.6,2.6,63.8,5.3,94.2,86.8,83.2,79.5,83.5,85.4,A
